City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,touros,-5.1989,-35.4608,25.83,86,100,2.23,BR,1682644953
83,mar del plata,-38.0023,-57.5575,16.16,91,0,2.06,AR,1682644890
84,kapuskasing,49.4169,-82.4331,3.05,93,100,4.63,CA,1682644682
85,loch garman,52.3342,-6.4575,11.23,100,100,2.24,IE,1682644954
86,castillos,-34.1667,-53.8333,14.43,90,100,1.96,UY,1682644955
87,bamboo flat,11.7,92.7167,29.48,69,86,1.57,IN,1682644955
88,kavieng,-2.5744,150.7967,29.15,72,23,1.31,PG,1682644955
89,codrington,-38.2667,141.9667,14.13,61,95,6.92,AU,1682644955
90,stanley,54.868,-1.6985,7.01,87,75,3.6,GB,1682644956
91,albany,42.6001,-73.9662,10.75,69,11,0.46,US,1682644956
92,kavaratti,10.5669,72.642,28.2,71,87,1.34,IN,1682644759
93,palangkaraya,-2.2,113.8333,27.35,87,69,0.72,ID,1682644957
94,taltal,-25.4,-70.4833,18.18,80,5,1.9,CL,1682644820
95,palmer,42.1584,-72.3287,9.75,76,20,2.57,US,1682644957
96,longyearbyen,78.2186,15.6401,-1.09,80,75,5.66,SJ,1682644957
97,ushuaia,-54.8,-68.3,3.81,81,40,7.72,AR,1682644789
98,nemuro,43.3236,145.575,6.85,76,67,3.55,JP,1682644958
99,saint-francois,46.4154,3.9054,13.15,82,0,1.54,FR,1682644839
100,punta arenas,-53.15,-70.9167,3.06,81,75,3.09,CL,1682644958
101,naze,28.3667,129.4833,21.51,72,100,4.26,JP,1682644959
102,labasa,-16.4167,179.3833,29.74,69,30,2.61,FJ,1682644959
103,veraval,20.9,70.3667,25.67,81,0,3.0,IN,1682644959
104,dudinka,69.4058,86.1778,-14.74,100,100,0.84,RU,1682644959
105,isangel,-19.55,169.2667,26.74,71,87,5.39,VU,1682644960
106,kotel'nich,58.3089,48.348,8.24,93,100,2.4,RU,1682644960
107,constantia,44.1833,28.65,4.38,65,13,7.63,RO,1682644961
108,say,13.1007,2.3689,33.31,46,100,3.44,NE,1682644882
109,luderitz,-26.6481,15.1594,15.63,63,51,4.4,NA,1682644961
110,rio gallegos,-51.6226,-69.2181,7.03,70,100,2.06,AR,1682644962
111,fresno,36.6666,-119.8343,33.95,28,40,4.63,US,1682644934
112,staritsa,56.5075,34.9354,9.6,97,100,1.96,RU,1682644962
113,mahajanga,-15.7167,46.3167,24.01,94,40,1.03,MG,1682644962
114,tura,25.5198,90.2201,24.8,54,6,0.47,IN,1682644963
115,hermanus,-34.4187,19.2345,15.27,84,0,4.49,ZA,1682644963
116,neftegorsk,52.802,51.166,14.08,58,62,1.31,RU,1682644963
117,al jawf,29.5,38.75,20.14,28,5,8.05,SA,1682644963
